repo,category,technique,capabilities,savings,quality,latency,local,footprint,integration,safety,maturity,notes
microsoft/LLMLingua,prompt-compression,token-level small-model compression,prompt_tokens|query_aware|token_pruning|local|cpu|cheap_model|python_api|batch|long_context|quality_eval|latency_eval,14,5,1,4,4,11,2,7,"Paper leader; local unconditional LLMLingua-2 CPU run averaged 41.4% saving, 18.7% deterministic quality and 37.0s latency"
liyucheng09/Selective_Context,prompt-compression,self-information token pruning,prompt_tokens|token_pruning|local|cpu|cheap_model|python_api|long_context|quality_eval,14,13,7,8,6,7,4,4,"Research implementation; useful baseline but limited maintenance"
carriex/recomp,rag-compression,extractive and abstractive retrieval compression,prompt_tokens|query_aware|extractive|abstractive|sentence_pruning|local|gpu_optional|cheap_model|python_api|quality_eval,15,16,5,6,4,7,5,5,"RECOMP selectively augments and can emit an empty context"
JungHoyoun/PromptCompressor,prompt-compression,prompt compression prototype,prompt_tokens|local|cpu|python_api,8,8,6,7,7,5,3,2,"Small prototype with sparse evidence"
3DAgentWorld/Toolkit-for-Prompt-Compression,prompt-compression,multi-method research toolkit,prompt_tokens|query_aware|token_pruning|sentence_pruning|local|gpu_optional|python_api|batch|quality_eval|latency_eval,16,14,5,7,4,8,4,5,"Evaluation-oriented toolkit rather than production proxy"
ZongqianLi/500xCompressor,prompt-compression,learned extreme compression,prompt_tokens|abstractive|local|gpu_optional|cheap_model|python_api|long_context|quality_eval,20,11,3,4,2,5,3,4,"Extreme upstream ratio; deployment and fidelity risk are high"
wilpel/caveman-compression,semantic-compression,grammar removal,prompt_tokens|extractive|local|cpu|model_free|cli|fallback,12,10,10,10,8,8,5,4,"Fast model-free semantic shorthand; brittle outside prose"
open-compress/claw-compactor,deterministic-compression,multi-stage structural compaction,prompt_tokens|extractive|local|cpu|model_free|cli|code_safe|structured_safe|reversible|fallback|latency_eval,17,13,8,10,8,10,5,5,"Measured 66.9% average saving and 0.53s average text latency; requires hard role bypass and structured-data quality guard; report: https://github.com/Martin-Hausleitner/headroom-context-idr/blob/main/headroom-context-report.md"
rtk-ai/rtk,tool-output-compression,command-output filtering,prompt_tokens|extractive|local|cpu|model_free|cli|code_safe|structured_safe|reversible|fallback|latency_eval,8,18,10,10,8,3,8,7,"Excellent before the gateway, but not a general user-prompt compressor"
diegosouzapw/OmniRoute,gateway-compression,provider gateway with stacked compression,prompt_tokens|local|cpu|model_free|cli|openai_compatible|proxy|fallback|streaming,14,11,8,9,7,11,5,5,"Broad gateway; compression claims need independent validation"
JuliusBrussee/caveman,semantic-compression,agent skill shorthand,prompt_tokens|extractive|local|cpu|model_free|cli|fallback,13,9,10,10,8,6,4,6,"High adoption but language degradation can hurt precise prompts"
langchain-ai/langchain,rag-compression,contextual compression retriever,prompt_tokens|query_aware|extractive|abstractive|reranking|local|cheap_model|python_api|batch|fallback|proxy,14,15,6,7,5,10,6,7,"Mature integration framework; compressor quality depends on components"
run-llama/llama_index,rag-compression,node postprocessors and LongLLMLingua,prompt_tokens|query_aware|extractive|abstractive|reranking|local|cheap_model|python_api|batch|fallback|proxy|long_context,15,15,6,7,5,10,6,7,"Good RAG integration and direct LongLLMLingua adapter"
RUC-NLPIR/FlashRAG,rag-compression,research RAG toolkit,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|batch|quality_eval|long_context,13,15,5,6,4,7,5,6,"Broad reproducible RAG research surface"
deepset-ai/haystack,rag-compression,document filtering and ranking,prompt_tokens|query_aware|extractive|reranking|local|cheap_model|python_api|batch|fallback|proxy,12,15,7,8,6,10,6,7,"Production-friendly pipeline framework"
FlagOpen/FlagEmbedding,rag-compression,embedding and reranking,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|batch|quality_eval,12,17,6,7,4,7,6,7,"Strong retrieval quality, not a full prompt compressor"
answerdotai/rerankers,rag-compression,unified reranker API,prompt_tokens|query_aware|extractive|reranking|local|cheap_model|python_api|batch,10,15,7,8,6,8,6,6,"Simple integration for extractive context selection"
huggingface/sentence-transformers,rag-compression,embedding similarity selection,prompt_tokens|query_aware|extractive|reranking|local|cpu|cheap_model|python_api|batch|quality_eval,10,14,7,8,6,7,6,7,"Generic building block requiring policy and chunking"
jina-ai/late-chunking,rag-compression,context-aware chunk embeddings,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|long_context|quality_eval,9,16,5,6,4,6,6,5,"Improves retrieval context but does not directly rewrite prompts"
princeton-nlp/AutoCompressors,prompt-compression,learned summary tokens,prompt_tokens|abstractive|local|gpu_optional|python_api|long_context|quality_eval,17,14,3,4,2,5,4,5,"Research method requiring model-side support"
linshenkx/prompt-optimizer,prompt-enhancement,LLM prompt rewrite,enhancer|cheap_model|openai_compatible|proxy|fallback,0,11,5,3,5,8,4,6,"Popular enhancer, usually expands prompts and is not a token saver"
microsoft/PromptWizard,prompt-optimization,agent-driven offline optimization,enhancer|quality_eval|python_api|batch|cheap_model,0,17,2,5,4,5,5,6,"Offline optimizer; unsuitable for every-request latency path"
stanfordnlp/dspy,prompt-optimization,programmatic prompt optimization,enhancer|quality_eval|python_api|batch|fallback|proxy,2,18,3,6,4,8,6,7,"Excellent offline optimization framework, not request compaction"
gepa-ai/gepa,prompt-optimization,reflective prompt optimization,enhancer|quality_eval|python_api|batch,1,18,2,5,3,6,5,6,"High-quality offline search with substantial inference cost"
zou-group/textgrad,prompt-optimization,textual gradients,enhancer|quality_eval|python_api|batch,0,17,2,5,3,5,5,6,"Research optimizer; expensive and offline-oriented"
google-deepmind/opro,prompt-optimization,LLM-as-optimizer,enhancer|quality_eval|batch,0,16,1,2,2,3,4,5,"Reference research code; not a live proxy component"
microsoft/LMOps,prompt-optimization,Promptist and LLM operations,enhancer|quality_eval|python_api|batch|cheap_model,1,15,3,5,4,5,5,6,"Umbrella research repository with Promptist assets"
microsoft/promptflow,prompt-optimization,prompt workflow and LLMLingua tool,enhancer|prompt_tokens|python_api|batch|proxy|fallback|quality_eval,10,16,5,6,4,10,6,7,"Mature orchestration and direct LLMLingua integration"
Agenta-AI/agenta,prompt-optimization,prompt management and evaluation,enhancer|quality_eval|python_api|batch|proxy|fallback,0,16,4,6,5,8,6,6,"Evaluation platform, not a compression algorithm"
promptfoo/promptfoo,prompt-optimization,prompt evaluation and red teaming,enhancer|quality_eval|cli|batch|fallback,0,17,5,9,8,6,8,7,"Best used to gate compressor quality rather than compress"
langgptai/LangGPT,prompt-enhancement,structured prompt framework,enhancer|local|cpu|model_free,0,11,9,10,8,4,5,6,"Structure improves clarity but usually grows token count"
SylphAI-Inc/AdalFlow,prompt-optimization,auto-differentiated LLM applications,enhancer|quality_eval|python_api|batch|fallback,1,17,3,6,4,7,6,6,"Offline/iterative optimization framework"
LMCache/LMCache,kv-cache,distributed KV cache reuse,kv_only|local|gpu_optional|python_api|proxy|streaming|reversible,0,18,8,5,3,6,8,7,"Reduces prefill compute and latency, not transmitted prompt tokens"
vllm-project/vllm,kv-cache,paged attention and prefix caching,kv_only|local|gpu_optional|openai_compatible|proxy|streaming|reversible,0,18,9,5,2,8,8,7,"Serving engine replacement, not Headroom-side prompt reduction"
NVIDIA/TensorRT-LLM,kv-cache,GPU inference and KV optimization,kv_only|local|gpu_optional|python_api|streaming,0,18,10,2,1,3,8,7,"Requires NVIDIA stack and target-model hosting control"
FasterDecoding/SnapKV,kv-cache,attention-based KV eviction,kv_only|local|gpu_optional|long_context|quality_eval,0,15,9,3,2,2,5,5,"Model-runtime modification; irrelevant to hosted target APIs"
FMInference/H2O,kv-cache,heavy-hitter KV eviction,kv_only|local|gpu_optional|long_context|quality_eval,0,16,9,3,2,2,5,6,"Strong paper evidence but runtime-side only"
SqueezeAILab/KVQuant,kv-cache,KV quantization,kv_only|local|gpu_optional|long_context|quality_eval,0,16,9,3,2,2,6,5,"Memory reduction without prompt-token reduction"
jy-yuan/KIVI,kv-cache,2-bit asymmetric KV quantization,kv_only|local|gpu_optional|long_context|quality_eval,0,16,9,3,2,2,6,5,"Memory reduction without prompt-token reduction"
Zefan-Cai/KVCache-Factory,kv-cache,unified KV eviction methods,kv_only|local|gpu_optional|long_context|quality_eval,0,16,8,3,2,3,5,6,"Useful comparative implementation; target runtime access required"
mit-han-lab/streaming-llm,kv-cache,attention sinks and rolling cache,kv_only|local|gpu_optional|streaming|long_context|quality_eval,0,16,9,4,3,3,6,7,"Streaming context support, no paid-input token saving"
NVIDIA/kvpress,kv-cache,unified KV compression library,kv_only|local|gpu_optional|python_api|quality_eval|long_context,0,17,8,4,2,4,6,6,"Best KV experimentation surface; not proxy-side prompt compression"
yale-sys/prompt-cache,kv-cache,structured prefix cache,kv_only|local|gpu_optional|streaming|quality_eval,0,17,9,3,2,3,7,5,"Compute/latency cache, requires inference runtime integration"
Dao-AILab/flash-attention,kv-cache,IO-aware exact attention,kv_only|local|gpu_optional|streaming,0,19,10,3,2,2,8,7,"Exact attention acceleration, not context compression"
flashinfer-ai/flashinfer,kv-cache,LLM inference kernels,kv_only|local|gpu_optional|python_api|streaming,0,18,10,3,2,3,8,7,"Runtime kernel library only"
ggerganov/llama.cpp,kv-cache,local inference and prompt caching,kv_only|local|cpu|gpu_optional|openai_compatible|proxy|streaming|reversible,0,17,8,9,7,7,8,7,"Could host the cheap intermediary locally but is not a compressor"
microsoft/MInference,kv-cache,sparse long-context prefill,kv_only|local|gpu_optional|long_context|quality_eval,0,17,9,3,2,3,6,6,"Prefill acceleration requires runtime control"
Infini-AI-Lab/TriForce,kv-cache,hierarchical speculative decoding and cache,kv_only|local|gpu_optional|long_context|quality_eval,0,15,9,2,1,2,5,5,"Complex inference-stack change"
bytedance/ShadowKV,kv-cache,low-rank KV offload,kv_only|local|gpu_optional|long_context|quality_eval,0,16,9,2,1,2,6,5,"Runtime-side GPU optimization"
SqueezeAILab/SqueezedAttention,kv-cache,compressed KV serving,kv_only|local|gpu_optional|long_context|quality_eval,0,16,8,2,1,2,5,5,"Runtime-side research implementation"
