repository,category,technique,github_url,stars,forks,open_issues,archived,license,last_push_utc,primary_language,default_branch,created_utc,updated_utc,homepage,description,evidence_grade,local_benchmark_status,prompt_tokens_reduced,target_model_agnostic,query_aware,extractive,abstractive,token_pruning,sentence_pruning,reranking,local_execution,cpu_viable,gpu_optional,cheap_model_supported,model_free,streaming_safe,structured_data_safe,code_safe,citation_safe,instruction_hierarchy_safe,reversible,fallback_capable,proxy_integration,openai_compatible,python_api,cli,batch,quality_evaluation,latency_measurement,long_context_focus,kv_cache_only,savings_20,quality_20,latency_10,local_deploy_10,model_footprint_8,proxy_integration_12,safety_reversibility_8,maturity_7,popularity_5,total_100,crown,notes,captured_at_utc
open-compress/claw-compactor,deterministic-compression,multi-stage structural compaction,https://github.com/open-compress/claw-compactor,2188,208,5,False,MIT,2026-04-01T08:31:20Z,Python,main,2026-02-10T00:27:08Z,2026-07-18T17:25:04Z,https://www.opencompress.ai/,"14-stage Fusion Pipeline for LLM token compression — reversible compression, AST-aware code analysis, intelligent content routing. Zero LLM inference cost. MIT licensed.",GitHub API + primary README + category inference,"measured: pinned commit, text and messages APIs, 3 fixtures",yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,partial,partial,yes,yes,no,no,no,yes,no,no,yes,no,no,17.0,13.0,8.0,10.0,8.0,10.0,5.0,5.0,3.5,79.5,CROWN,Measured 66.9% average saving and 0.53s average text latency; requires hard role bypass and structured-data quality guard; report: https://github.com/Martin-Hausleitner/headroom-context-idr/blob/main/headroom-context-report.md,2026-07-20T15:18:47.402949+00:00
rtk-ai/rtk,tool-output-compression,command-output filtering,https://github.com/rtk-ai/rtk,72032,4483,1660,False,Apache-2.0,2026-07-20T15:13:30Z,Rust,develop,2026-01-22T16:54:16Z,2026-07-20T15:16:20Z,https://www.rtk-ai.app,"CLI proxy that reduces LLM token consumption by 60-90% on common dev commands. Single Rust binary, zero dependencies",GitHub API + primary README + category inference,installed/live metrics; not a general prompt compressor,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,partial,partial,yes,yes,no,no,no,yes,no,no,yes,no,no,8.0,18.0,10.0,10.0,8.0,3.0,8.0,7.0,5.0,77.0,,"Excellent before the gateway, but not a general user-prompt compressor",2026-07-20T15:18:47.402949+00:00
run-llama/llama_index,rag-compression,node postprocessors and LongLLMLingua,https://github.com/run-llama/llama_index,50962,7783,571,False,MIT,2026-07-16T05:24:11Z,Python,main,2022-11-02T04:24:54Z,2026-07-20T14:57:34Z,https://developers.llamaindex.ai,LlamaIndex is the leading document agent and OCR platform,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,partial,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,15.0,15.0,6.0,7.0,5.0,10.0,6.0,7.0,5.0,76.0,,Good RAG integration and direct LongLLMLingua adapter,2026-07-20T15:18:47.402949+00:00
deepset-ai/haystack,rag-compression,document filtering and ranking,https://github.com/deepset-ai/haystack,25954,2940,112,False,Apache-2.0,2026-07-20T15:13:46Z,MDX,main,2019-11-14T09:05:28Z,2026-07-20T15:14:38Z,https://haystack.deepset.ai,"Open-source AI orchestration framework for building context-engineered, production-ready LLM applications. Design modular pipelines and agent workflows with explicit control over retrieval, routing, memory, and generation. Built for scalable agents, RAG, multimodal applications, semantic search, and conversational systems.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,partial,no,no,yes,yes,no,yes,no,yes,no,no,no,no,12.0,15.0,7.0,8.0,6.0,10.0,6.0,7.0,4.5,75.5,,Production-friendly pipeline framework,2026-07-20T15:18:47.402949+00:00
langchain-ai/langchain,rag-compression,contextual compression retriever,https://github.com/langchain-ai/langchain,142166,23644,437,False,MIT,2026-07-20T13:52:32Z,Python,master,2022-10-17T02:58:36Z,2026-07-20T15:16:17Z,https://docs.langchain.com/langchain/,The agent engineering platform.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,partial,no,no,yes,yes,no,yes,no,yes,no,no,no,no,14.0,15.0,6.0,7.0,5.0,10.0,6.0,7.0,5.0,75.0,,Mature integration framework; compressor quality depends on components,2026-07-20T15:18:47.402949+00:00
diegosouzapw/OmniRoute,gateway-compression,provider gateway with stacked compression,https://github.com/diegosouzapw/OmniRoute,21041,2888,205,False,MIT,2026-07-20T13:10:33Z,TypeScript,release/v3.8.49,2026-02-13T12:38:31Z,2026-07-20T15:17:29Z,https://omniroute.online,"Never stop coding. Free MIT AI gateway: one endpoint, 268+ providers (50+ free), 500+ models — Claude, GPT, Gemini, Kimi K3, GLM, DeepSeek. Works with Claude Code, Codex, Cursor, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, multimodal, Desktop/PWA. Built by 500+ contributors.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,14.0,11.0,8.0,9.0,7.0,11.0,5.0,5.0,4.5,74.5,,Broad gateway; compression claims need independent validation,2026-07-20T15:18:47.402949+00:00
JuliusBrussee/caveman,semantic-compression,agent skill shorthand,https://github.com/JuliusBrussee/caveman,91096,5165,412,False,MIT,2026-07-03T11:10:42Z,JavaScript,main,2026-04-04T10:03:00Z,2026-07-20T15:17:12Z,https://caveman.so/,🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,partial,no,no,yes,no,no,no,yes,no,no,no,no,no,13.0,9.0,10.0,10.0,8.0,6.0,4.0,6.0,5.0,71.0,,High adoption but language degradation can hurt precise prompts,2026-07-20T15:18:47.402949+00:00
wilpel/caveman-compression,semantic-compression,grammar removal,https://github.com/wilpel/caveman-compression,1062,65,9,False,[UNVERIFIZIERT] (NOASSERTION),2025-12-03T17:04:50Z,Python,main,2025-11-17T15:47:59Z,2026-07-20T11:46:02Z,,"Caveman Compression is a semantic compression method for LLM contexts. It removes predictable grammar while preserving the unpredictable, factual content that defines meaning.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,partial,no,no,yes,no,no,no,yes,no,no,no,no,no,12.0,10.0,10.0,10.0,8.0,8.0,5.0,4.0,3.5,70.5,,Fast model-free semantic shorthand; brittle outside prose,2026-07-20T15:18:47.402949+00:00
FlagOpen/FlagEmbedding,rag-compression,embedding and reranking,https://github.com/FlagOpen/FlagEmbedding,11955,904,907,False,MIT,2026-04-22T16:00:42Z,Python,master,2023-08-02T02:08:11Z,2026-07-20T14:04:02Z,http://www.bge-model.com/,Retrieval and Retrieval-augmented LLMs,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,yes,no,no,no,12.0,17.0,6.0,7.0,4.0,7.0,6.0,7.0,4.5,70.5,,"Strong retrieval quality, not a full prompt compressor",2026-07-20T15:18:47.402949+00:00
AnswerDotAI/rerankers,rag-compression,unified reranker API,https://github.com/AnswerDotAI/rerankers,1624,104,17,False,Apache-2.0,2025-12-20T13:10:13Z,Python,main,2024-03-06T16:18:57Z,2026-07-17T11:17:36Z,,"A lightweight, low-dependency, unified API to use all common reranking and cross-encoder models.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,no,no,no,no,10.0,15.0,7.0,8.0,6.0,8.0,6.0,6.0,3.5,69.5,,Simple integration for extractive context selection,2026-07-20T15:18:47.402949+00:00
huggingface/sentence-transformers,rag-compression,embedding similarity selection,https://github.com/huggingface/sentence-transformers,18923,2830,1296,False,Apache-2.0,2026-07-20T08:50:41Z,Python,main,2019-07-24T10:53:51Z,2026-07-20T11:52:20Z,https://www.sbert.net,"State-of-the-Art Embeddings, Retrieval, and Reranking",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,yes,no,no,no,10.0,14.0,7.0,8.0,6.0,7.0,6.0,7.0,4.5,69.5,,Generic building block requiring policy and chunking,2026-07-20T15:18:47.402949+00:00
microsoft/promptflow,prompt-optimization,prompt workflow and LLMLingua tool,https://github.com/microsoft/promptflow,11185,1113,73,False,MIT,2026-07-09T22:00:22Z,Python,main,2023-06-30T06:03:06Z,2026-07-20T05:50:19Z,https://microsoft.github.io/promptflow/,"Build high-quality LLM apps - from prototyping, testing to production deployment and monitoring.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,10.0,16.0,5.0,6.0,4.0,10.0,6.0,7.0,4.5,68.5,,Mature orchestration and direct LLMLingua integration,2026-07-20T15:18:47.402949+00:00
ggml-org/llama.cpp,kv-cache,local inference and prompt caching,https://github.com/ggml-org/llama.cpp,121039,20797,1895,False,MIT,2026-07-20T14:43:39Z,C++,master,2023-03-10T18:58:00Z,2026-07-20T15:18:52Z,https://llama.app,LLM inference in C/C++,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,partial,partial,yes,no,yes,yes,no,no,no,no,no,no,yes,0.0,17.0,8.0,9.0,7.0,7.0,8.0,7.0,5.0,68.0,,Could host the cheap intermediary locally but is not a compressor,2026-07-20T15:18:47.402949+00:00
liyucheng09/Selective_Context,prompt-compression,self-information token pruning,https://github.com/liyucheng09/Selective_Context,423,25,12,False,[UNVERIFIZIERT] (NOASSERTION),2024-02-12T22:49:54Z,Python,main,2023-03-29T21:03:22Z,2026-07-14T17:11:42Z,,"Compress your input to ChatGPT or other LLMs, to let them process 2x more content and save 40% memory and GPU time.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,14.0,13.0,7.0,8.0,6.0,7.0,4.0,4.0,2.5,65.5,,Research implementation; useful baseline but limited maintenance,2026-07-20T15:18:47.402949+00:00
carriex/recomp,rag-compression,extractive and abstractive retrieval compression,https://github.com/carriex/recomp,148,8,4,False,MIT,2026-01-06T23:10:37Z,Python,main,2023-10-04T23:58:16Z,2026-07-15T11:50:41Z,,RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation.,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,partial,no,no,no,no,no,yes,no,no,yes,no,no,no,15.0,16.0,5.0,6.0,4.0,7.0,5.0,5.0,2.5,65.5,,RECOMP selectively augments and can emit an empty context,2026-07-20T15:18:47.402949+00:00
3DAgentWorld/Toolkit-for-Prompt-Compression,prompt-compression,multi-method research toolkit,https://github.com/3DAgentWorld/Toolkit-for-Prompt-Compression,291,10,0,False,MIT,2025-02-11T14:46:15Z,Python,main,2024-03-08T03:16:34Z,2026-07-11T23:39:11Z,,Toolkit for Prompt Compression,GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,16.0,14.0,5.0,7.0,4.0,8.0,4.0,5.0,2.5,65.5,,Evaluation-oriented toolkit rather than production proxy,2026-07-20T15:18:47.402949+00:00
RUC-NLPIR/FlashRAG,rag-compression,research RAG toolkit,https://github.com/RUC-NLPIR/FlashRAG,3525,311,38,False,MIT,2026-07-19T10:20:30Z,Python,main,2024-03-14T01:40:33Z,2026-07-20T07:46:10Z,https://arxiv.org/abs/2405.13576,⚡FlashRAG: A Python Toolkit for Efficient RAG Research (WWW2025 Resource),GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,no,no,yes,no,yes,yes,no,yes,no,13.0,15.0,5.0,6.0,4.0,7.0,5.0,6.0,3.5,64.5,,Broad reproducible RAG research surface,2026-07-20T15:18:47.402949+00:00
promptfoo/promptfoo,prompt-optimization,prompt evaluation and red teaming,https://github.com/promptfoo/promptfoo,23438,2097,427,False,MIT,2026-07-20T14:43:12Z,TypeScript,main,2023-04-28T15:48:49Z,2026-07-20T14:28:52Z,https://promptfoo.dev,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic.",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,0.0,17.0,5.0,9.0,8.0,6.0,8.0,7.0,4.5,64.5,,Best used to gate compressor quality rather than compress,2026-07-20T15:18:47.402949+00:00
vllm-project/vllm,kv-cache,paged attention and prefix caching,https://github.com/vllm-project/vllm,86708,19630,5910,False,Apache-2.0,2026-07-20T14:56:57Z,Python,main,2023-02-09T11:23:20Z,2026-07-20T15:16:42Z,https://vllm.ai,A high-throughput and memory-efficient inference and serving engine for LLMs,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,partial,partial,yes,no,yes,yes,no,no,no,no,no,no,yes,0.0,18.0,9.0,5.0,2.0,8.0,8.0,7.0,5.0,62.0,,"Serving engine replacement, not Headroom-side prompt reduction",2026-07-20T15:18:47.402949+00:00
jina-ai/late-chunking,rag-compression,context-aware chunk embeddings,https://github.com/jina-ai/late-chunking,532,48,1,False,Apache-2.0,2024-12-23T13:38:26Z,Python,main,2024-08-06T12:33:59Z,2026-07-19T09:08:06Z,,Code for explaining and evaluating late chunking (chunked pooling),GitHub API + primary README + category inference,not locally executed; primary-source assessment,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,partial,no,no,no,no,no,yes,no,no,yes,no,yes,no,9.0,16.0,5.0,6.0,4.0,6.0,6.0,5.0,3.0,60.0,,Improves retrieval context but does not directly rewrite prompts,2026-07-20T15:18:47.402949+00:00
LMCache/LMCache,kv-cache,distributed KV cache reuse,https://github.com/LMCache/LMCache,10732,1583,420,False,Apache-2.0,2026-07-20T10:16:53Z,Python,dev,2024-05-28T21:06:04Z,2026-07-20T15:13:21Z,https://lmcache.ai/,LMCache: Supercharge Your LLM with the Fastest KV Cache Layer,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,partial,partial,yes,no,yes,no,yes,no,no,no,no,no,yes,0.0,18.0,8.0,5.0,3.0,6.0,8.0,7.0,4.5,59.5,,"Reduces prefill compute and latency, not transmitted prompt tokens",2026-07-20T15:18:47.402949+00:00
stanfordnlp/dspy,prompt-optimization,programmatic prompt optimization,https://github.com/stanfordnlp/dspy,36251,3115,611,False,MIT,2026-07-20T15:18:05Z,Python,main,2023-01-09T21:01:51Z,2026-07-20T15:04:03Z,https://dspy.ai,DSPy: The framework for programming—not prompting—language models,GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no,no,2.0,18.0,3.0,6.0,4.0,8.0,6.0,7.0,4.5,58.5,,"Excellent offline optimization framework, not request compaction",2026-07-20T15:18:47.402949+00:00
langgptai/LangGPT,prompt-enhancement,structured prompt framework,https://github.com/langgptai/LangGPT,12362,936,0,False,Apache-2.0,2026-07-16T14:03:09Z,Jupyter Notebook,main,2023-05-06T13:49:43Z,2026-07-20T14:55:28Z,https://github.com/langgptai,"LangGPT: Empowering everyone to become a prompt expert! 🚀  📌 结构化提示词（Structured Prompt）提出者 📌 元提示词（Meta-Prompt）发起者   📌 最流行的提示词落地范式 | Language of GPT  The pioneering framework for structured & meta-prompt design 10,000+ ⭐ | Battle-tested by thousands of users worldwide  Created by 云中江树",GitHub API + primary README + category inference,not locally executed; primary-source assessment,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0.0,11.0,9.0,10.0,8.0,4.0,5.0,6.0,4.5,57.5,,Structure improves clarity but usually grows token count,2026-07-20T15:18:47.402949+00:00
